City	Date	SSC	Date	Mo=W+M	65+	W	M	DIS offensife(1,2,3 etc) non-offensive(0)	day of the season	T	Td	AT	T-AT
KHB	20010801	1	01.08.2001	12	6	6	6	0	93	26	15,4	32,3	6,3
KHB	20010802	4	02.08.2001	19	13	10	9	0	94	20	15,8	26,6	6,6
KHB	20010803	1	03.08.2001	27	17	12	15	0	95	27	16,6	34,0	7,0
KHB	20010804	6	04.08.2001	28	15	11	17	0	96	29	19,0	37,3	8,3
KHB	20010805	6	05.08.2001	26	11	14	12	0	97	30	18,1	37,8	7,8
KHB	20010806	4	06.08.2001	28	11	15	13	0	98	26	20,8	35,5	9,5
KHB	20010807	4	07.08.2001	26	9	10	16	0	99	21	18,8	29,2	8,2
KHB	20010808	5	08.08.2001	14	4	6	8	0	100	17	16,4	23,9	6,9
KHB	20010809	0	09.08.2001	14	6	3	11	0	101			2,7	2,7
KHB	20010810	5	10.08.2001	21	10	7	14	0	102	19	17,0	26,2	7,2
KHB	20010811	1	11.08.2001	22	11	10	12	0	103	25	15,9	31,6	6,6
KHB	20010812	1	12.08.2001	17	6	10	7	0	104	29	19,9	37,9	8,9
KHB	20010813	0	13.08.2001	30	15	14	16	0	105			2,7	2,7
KHB	20010814	3	14.08.2001	27	14	15	12	1	106	31	18,4	38,9	7,9
KHB	20010815	4	15.08.2001	19	9	10	9	0	107	25	21,3	34,8	9,8
KHB	20010816	66	16.08.2001	22	9	11	11	1	108	30	18,4	38,0	8,0
KHB	20010817	1	17.08.2001	27	11	10	17	0	109	26	12,1	30,9	4,9
KHB	20010818	1	18.08.2001	19	10	9	10	0	110	29	10,6	33,4	4,4
KHB	20010819	4	19.08.2001	18	7	8	10	0	111	26	21,0	35,6	9,6
KHB	20010820	4	20.08.2001	25	12	13	12	0	112	24	23,1	35,1	11,1
KHB	20010821	0	21.08.2001	23	9	12	11	0	113	22		24,6	2,6
KHB	20010822	4	22.08.2001	27	10	9	18	0	114	20	17,0	27,2	7,2
KHB	20010823	4	23.08.2001	11	4	6	5	0	115	23	18,1	30,8	7,8
KHB	20010824	0	24.08.2001	23	9	8	15	0	116	18	17,4	25,4	7,4
KHB	20010825	5	25.08.2001	15	7	7	8	0	117	19	15,3	25,3	6,3
KHB	20010826	1	26.08.2001	17	7	6	11	0	118	22	11,7	26,8	4,8
KHB	20010827	0	27.08.2001	24	12	12	12	0	119	23	3,5	25,8	2,8
KHB	20010828	1	28.08.2001	19	9	7	12	0	120	24	10,3	28,3	4,3
KHB	20010829	1	29.08.2001	19	10	7	12	0	121	26	11,0	30,5	4,5
KHB	20010830	1	30.08.2001	16	10	6	10	0	122	26	12,8	31,2	5,2
KHB	20010831	5	31.08.2001	21	10	11	10	0	123	15	11,2	19,6	4,6
KHB	20020601	1	01.06.2002	22	11	8	14	0	32	19	6,8	22,3	3,3
KHB	20020602	4	02.06.2002	18	9	6	12	0	33	19	8,4	22,7	3,7
KHB	20020603	1	03.06.2002	20	10	6	14	0	34	21	7,6	24,5	3,5
KHB	20020604	0	04.06.2002	25	14	14	11	0	35	24	6,7	27,3	3,3
KHB	20020605	0	05.06.2002	15	11	2	13	0	36	29	10,6	33,4	4,4
KHB	20020606	6	06.06.2002	31	12	13	18	0	37	24	18,4	32,0	8,0
KHB	20020607	0	07.06.2002	22	13	6	16	0	38	23	12,3	28,0	5,0
KHB	20020608	0	08.06.2002	25	16	13	12	0	39	16	8,5	19,8	3,8
KHB	20020609	0	09.06.2002	17	8	7	10	0	40	20	6,7	23,3	3,3
KHB	20020610	2	10.06.2002	22	12	13	9	0	41	18	4,2	20,9	2,9
KHB	20020611	0	11.06.2002	27	13	8	19	0	42	19	10,6	23,4	4,4
KHB	20020612	0	12.06.2002	21	11	14	7	0	43	18	10,4	22,3	4,3
KHB	20020613	1	13.06.2002	30	13	13	17	0	44	20	9,9	24,2	4,2
KHB	20020614	1	14.06.2002	24	9	9	15	0	45	22	13,1	27,3	5,3
KHB	20020615	0	15.06.2002	23	12	12	11	0	46			2,7	2,7
KHB	20020616	6	16.06.2002	27	10	12	15	0	47	24	13,8	29,6	5,6
KHB	20020617	6	17.06.2002	22	12	11	11	0	48	24	17,3	31,3	7,3
